97,LG Electronics 24LJ4540-WU 24-Inch 720p LED TV (2017 Model),B01MU5RPQ5,110.0,4.2,33
98,LG Electronics 65UB9500 65-Inch 4K Ultra HD 120Hz 3D LED TV (2014 Model),B00KH7NBI4,3299.99,4.1,136
99,Sharp LC-32LE451U 32-Inch Aquos HD 720p 60Hz  LED TV (2013 Model),B00IN2WDFW,249.99,4.1,133
100,Samsung UN40JU6500 40-Inch 4K Ultra HD Smart LED TV (2015 Model),B00TWFHDAO,699.95,4.1,113
101,LG 98UB9800 98-Inch Class 4K Ultra HD 3D Smart LED TV with Web OS (2015 Model),B00KPZALXQ,37999.0,4.1,103
102,LG Electronics 43LH5000 43-Inch 1080p LED TV (2016 Model),B01CF3L4YA,339.99,4.1,99
103,LG Electronics 86UH9500 86-Inch 4K Ultra HD Smart LED TV (2016 Model),B01C9CYKH0,7999.99,4.2,29
104,Samsung UN65KS9000 65-Inch 4K Ultra HD Smart LED TV (2016 Model),B01C5TFNN2,1663.09,4.1,87
105,LG 65SJ8000 65 WebOS 3.5 Smart UHD 4K HDR LED HDTV,B06XJ6LKLS,1173.05,4.2,28
106,Sceptre 24" 1080p 60Hz Class LED HDTV,B01LPN0MFS,94.89,4.4,12
107,Sharp LC-80LE650U 80-Inch Aquos HD 1080p 120Hz Smart LED TV (2014 Model),B00BYQYZJ6,4999.99,4.1,79
108,Sharp LC-60N5100U 60-Inch 1080p Smart LED TV (2016 Model),B01E6PGWBU,780.0,4.1,76
109,Elite Black 70" Pro-70x5fd Flat Panel 3d LED Hdtv,B005MYZ4MS,2000.0,4.3,16
110,Samsung UN55KS9000 55-Inch 4K Ultra HD Smart LED TV (2016 Model),B01C5TFNOG,1097.97,4.1,64
111,Pyle 18.5-Inch 1080p LED TV | Ultra HD TV | LED Hi Res Widescreen Monitor with HDMI cable RCA Input | LED TV Monitor | Audio Streaming | Mac PC | Stereo Speakers | HD TV Wall Mount (PTVLED18),B01LYFI8UF,124.99,4.4,11
112,LG Electronics 43UH6500 43-Inch 4K Ultra HD Smart LED TV (2016 Model),B01BY02ZC0,398.0,4.1,50
113,Magnavox 40ME325V/F7 Full 1080P LED Backlight ,HDTV,B00VU5DO3O,449.99,4.6,7
114,SunBriteTV Outdoor TV 55-Inch Veranda 4K Ultra HDTV LED Black - SB-5574UHD-BL,B01MAWIFQP,1999.0,4.3,14
115,Sceptre X415BV-FMQR 40-Inch Full HD LED TV With MHL Function,B00W2T70IM,289.99,4.1,44
116,Samsung Electronics UN55MU6490 Curved 55-Inch 4K Ultra HD Smart LED TV (2017 Model),B074NBX5CY,614.49,4.1,20
117,LG Electronics 55UJ6540 Class 4K UHD HDR Smart LED TV, 55",B06XJ6LKLR,550.51,4.2,21
118,Samsung Electronics UN32J4500AFXZA 32-Inch 720p 60Hz Smart LED TV (2015 Model),B0177ZCALM,219.0,4.1,43
